category_id,product_id
1fc2c7e5-33b8-11ef-a9aa-001dd8b71d59,b3f15229-33b8-11ef-a9aa-001dd8b71d59
1fc2c7e5-33b8-11ef-a9aa-001dd8b71d59,b3f1547a-33b8-11ef-a9aa-001dd8b71d59
1fc2c7e5-33b8-11ef-a9aa-001dd8b71d59,b3f1555e-33b8-11ef-a9aa-001dd8b71d59
1fc2c7e5-33b8-11ef-a9aa-001dd8b71d59,b3f155a3-33b8-11ef-a9aa-001dd8b71d59
1fc2c7e5-33b8-11ef-a9aa-001dd8b71d59,b3f15626-33b8-11ef-a9aa-001dd8b71d59
1fc2c7e5-33b8-11ef-a9aa-001dd8b71d59,b3f156a2-33b8-11ef-a9aa-001dd8b71d59
1fc2c7e5-33b8-11ef-a9aa-001dd8b71d59,b3f15661-33b8-11ef-a9aa-001dd8b71d59
1fc2c7e5-33b8-11ef-a9aa-001dd8b71d59,b3f157ad-33b8-11ef-a9aa-001dd8b71d59
1fc2cb0b-33b8-11ef-a9aa-001dd8b71d59,b3f1581e-33b8-11ef-a9aa-001dd8b71d59
1fc2cb0b-33b8-11ef-a9aa-001dd8b71d59,b3f15935-33b8-11ef-a9aa-001dd8b71d59
1fc2cb8f-33b8-11ef-a9aa-001dd8b71d59,b3f155e6-33b8-11ef-a9aa-001dd8b71d59
1fc2cb8f-33b8-11ef-a9aa-001dd8b71d59,b3f1571f-33b8-11ef-a9aa-001dd8b71d59
1fc2cbec-33b8-11ef-a9aa-001dd8b71d59,b3f154d5-33b8-11ef-a9aa-001dd8b71d59
1fc2cbec-33b8-11ef-a9aa-001dd8b71d59,b3f156a2-33b8-11ef-a9aa-001dd8b71d59
1fc2cc4a-33b8-11ef-a9aa-001dd8b71d59,b3f156e3-33b8-11ef-a9aa-001dd8b71d59
1fc2cc4a-33b8-11ef-a9aa-001dd8b71d59,b3f157ad-33b8-11ef-a9aa-001dd8b71d59
1fc2cc4a-33b8-11ef-a9aa-001dd8b71d59,b3f157e8-33b8-11ef-a9aa-001dd8b71d59
1fc2cc9c-33b8-11ef-a9aa-001dd8b71d59,b3f1551a-33b8-11ef-a9aa-001dd8b71d59
1fc2cc9c-33b8-11ef-a9aa-001dd8b71d59,b3f1555e-33b8-11ef-a9aa-001dd8b71d59
1fc2cc9c-33b8-11ef-a9aa-001dd8b71d59,b3f155a3-33b8-11ef-a9aa-001dd8b71d59
1fc2cc9c-33b8-11ef-a9aa-001dd8b71d59,b3f155e6-33b8-11ef-a9aa-001dd8b71d59
1fc2cc9c-33b8-11ef-a9aa-001dd8b71d59,b3f156e3-33b8-11ef-a9aa-001dd8b71d59
1fc2cc9c-33b8-11ef-a9aa-001dd8b71d59,b3f157ad-33b8-11ef-a9aa-001dd8b71d59
1fc2cc9c-33b8-11ef-a9aa-001dd8b71d59,b3f157e8-33b8-11ef-a9aa-001dd8b71d59
1fc2ccee-33b8-11ef-a9aa-001dd8b71d59,b3f15661-33b8-11ef-a9aa-001dd8b71d59
1fc2ccee-33b8-11ef-a9aa-001dd8b71d59,b3f1551a-33b8-11ef-a9aa-001dd8b71d59
1fc2ccee-33b8-11ef-a9aa-001dd8b71d59,b3f1555e-33b8-11ef-a9aa-001dd8b71d59
1fc2ccee-33b8-11ef-a9aa-001dd8b71d59,b3f1576b-33b8-11ef-a9aa-001dd8b71d59
1fc2ccee-33b8-11ef-a9aa-001dd8b71d59,b3f157ad-33b8-11ef-a9aa-001dd8b71d59
1fc2ccee-33b8-11ef-a9aa-001dd8b71d59,b3f159aa-33b8-11ef-a9aa-001dd8b71d59
